metabolite	cycle	x	y	conc_mmol
cobalt2_e	12	1	1	999.99992514
cu2_e	12	1	1	999.99992514
fe2_e	12	1	1	999.99960971
glycol_e	12	1	1	8.459400625
h2o_e	12	1	1	1004.1171851
h_e	12	1	1	999.7616632
k_e	12	1	1	999.99578773
mg2_e	12	1	1	999.99981281
mn2_e	12	1	1	1000.0
mobd_e	12	1	1	999.99992514
na1_e	12	1	1	999.99990641
nh4_e	12	1	1	999.71758119
ni2_e	12	1	1	999.99992514
o2_e	12	1	1	996.73017935
pi_e	12	1	1	999.97510979
so4_e	12	1	1	999.99511641
tpha_e	12	1	1	9.7557607048
zn2_e	12	1	1	999.99992514
34dhbz_e	13	1	1	0.020342943578
C80aPHA_e	13	1	1	0.12930502878
ca2_e	13	1	1	99.999877793
cbl1_e	13	1	1	0.001
cl_e	13	1	1	999.99987779
co2_e	13	1	1	3.2031672379
cobalt2_e	13	1	1	999.99991854
cu2_e	13	1	1	999.99991854
fe2_e	13	1	1	999.99957528
glycol_e	13	1	1	8.294638226
h2o_e	13	1	1	1004.5443269
h_e	13	1	1	999.75820123
k_e	13	1	1	999.99541621
mg2_e	13	1	1	999.9997963
mn2_e	13	1	1	1000.0
mobd_e	13	1	1	999.99991854
na1_e	13	1	1	999.99989815
nh4_e	13	1	1	999.69267188
ni2_e	13	1	1	999.99991854
o2_e	13	1	1	996.43920533
pi_e	13	1	1	999.97291448
so4_e	13	1	1	999.99468568
tpha_e	13	1	1	9.7336672717
zn2_e	13	1	1	999.99991854
34dhbz_e	14	1	1	0.00057049931165
C80aPHA_e	14	1	1	0.14578906474
ca2_e	14	1	1	99.999867075
cbl1_e	14	1	1	0.001
cl_e	14	1	1	999.99986708
co2_e	14	1	1	3.5202328122
cobalt2_e	14	1	1	999.99991139
cu2_e	14	1	1	999.99991139
fe2_e	14	1	1	999.99953803
glycol_e	14	1	1	8.1779572989
h2o_e	14	1	1	1004.8699491
h_e	14	1	1	999.71739834
k_e	14	1	1	999.99501422
mg2_e	14	1	1	999.99977844
mn2_e	14	1	1	1000.0
mobd_e	14	1	1	999.99991139
na1_e	14	1	1	999.99988922
nh4_e	14	1	1	999.66571988
ni2_e	14	1	1	999.99991139
o2_e	14	1	1	996.1303636
pi_e	14	1	1	999.97053914
so4_e	14	1	1	999.99421963
tpha_e	14	1	1	9.7112898785
zn2_e	14	1	1	999.99991139
34dhbz_e	15	1	1	0.021876844876
C80aPHA_e	15	1	1	0.15166842407
ca2_e	15	1	1	99.999857091
cbl1_e	15	1	1	0.001
cl_e	15	1	1	999.99985709
co2_e	15	1	1	3.7491133337
cobalt2_e	15	1	1	999.99990474
cu2_e	15	1	1	999.99990474
fe2_e	15	1	1	999.99950334
glycol_e	15	1	1	8.0086467205
h2o_e	15	1	1	1005.3077472
h_e	15	1	1	999.71547574
k_e	15	1	1	999.99463974
mg2_e	15	1	1	999.9997618
mn2_e	15	1	1	1000.0
mobd_e	15	1	1	999.99990474
na1_e	15	1	1	999.9998809
nh4_e	15	1	1	999.64061201
ni2_e	15	1	1	999.99990474
o2_e	15	1	1	995.83619201
pi_e	15	1	1	999.96832632
so4_e	15	1	1	999.99378546
tpha_e	15	1	1	9.6886248755
zn2_e	15	1	1	999.99990474
34dhbz_e	16	1	1	0.0014711545699
C80aPHA_e	16	1	1	0.16861876257
ca2_e	16	1	1	99.99984608
cbl1_e	16	1	1	0.001
cl_e	16	1	1	999.99984608
co2_e	16	1	1	4.0749500646
cobalt2_e	16	1	1	999.9998974
cu2_e	16	1	1	999.9998974
fe2_e	16	1	1	999.99946507
glycol_e	16	1	1	7.8888488916
h2o_e	16	1	1	1005.6421183
h_e	16	1	1	999.67353312
k_e	16	1	1	999.99422671
mg2_e	16	1	1	999.99974344
mn2_e	16	1	1	1000.0
mobd_e	16	1	1	999.9998974
na1_e	16	1	1	999.99987172
nh4_e	16	1	1	999.61292004
ni2_e	16	1	1	999.9998974
o2_e	16	1	1	995.51891
pi_e	16	1	1	999.96588577
so4_e	16	1	1	999.99330661
tpha_e	16	1	1	9.6656685663
zn2_e	16	1	1	999.9998974
34dhbz_e	17	1	1	0.021605470706
C80aPHA_e	17	1	1	0.17518102821
ca2_e	17	1	1	99.999835657
cbl1_e	17	1	1	0.001
cl_e	17	1	1	999.99983566
co2_e	17	1	1	4.3163498547
cobalt2_e	17	1	1	999.99989045
cu2_e	17	1	1	999.99989045
fe2_e	17	1	1	999.99942884
glycol_e	17	1	1	7.7149109339
h2o_e	17	1	1	1006.0928415
h_e	17	1	1	999.67023647
k_e	17	1	1	999.99383578
mg2_e	17	1	1	999.99972607
mn2_e	17	1	1	1000.0
mobd_e	17	1	1	999.99989045
na1_e	17	1	1	999.99986303
nh4_e	17	1	1	999.5867094
ni2_e	17	1	1	999.99989045
o2_e	17	1	1	995.21266701
pi_e	17	1	1	999.96357576
so4_e	17	1	1	999.99285338
tpha_e	17	1	1	9.6424172067
zn2_e	17	1	1	999.99989045
34dhbz_e	18	1	1	0.00052706598621
C80aPHA_e	18	1	1	0.192617291
ca2_e	18	1	1	99.99982434
cbl1_e	18	1	1	0.001
cl_e	18	1	1	999.99982434
co2_e	18	1	1	4.6512924776
cobalt2_e	18	1	1	999.99988291
cu2_e	18	1	1	999.99988291
fe2_e	18	1	1	999.99938951
glycol_e	18	1	1	7.5918969234
h2o_e	18	1	1	1006.4362495
h_e	18	1	1	999.62710868
k_e	18	1	1	999.99341131
mg2_e	18	1	1	999.99970721
mn2_e	18	1	1	1000.0
mobd_e	18	1	1	999.99988291
na1_e	18	1	1	999.9998536
nh4_e	18	1	1	999.55825024
ni2_e	18	1	1	999.99988291
o2_e	18	1	1	994.88664094
pi_e	18	1	1	999.96106759
so4_e	18	1	1	999.99236126
tpha_e	18	1	1	9.6188670045
zn2_e	18	1	1	999.99988291
34dhbz_e	19	1	1	0.022977769722
C80aPHA_e	19	1	1	0.19881377619
ca2_e	19	1	1	99.999813804
cbl1_e	19	1	1	0.001
cl_e	19	1	1	999.9998138
co2_e	19	1	1	4.8927260454
