cycle	plasticDegradationEstrategy3-dPCA	defaultModel-3
154.0	0.16156992816	0.095026527896
155.0	0.16140835823	0.095963331286
156.0	0.16124694988	0.096909369998
157.0	0.16108570293	0.097864735077
158.0	0.16092461722	0.098829518465
159.0	0.16076369261	0.099803813012
160.0	0.16060292891	0.10078771248
161.0	0.16044232598	0.10178131156
162.0	0.16028188366	0.10278470587
163.0	0.16012160178	0.10379799199
164.0	0.15996148017	0.10482126741
165.0	0.15980151869	0.10585463063
166.0	0.15964171717	0.10689818109
167.0	0.15948207546	0.10795201922
168.0	0.15932259338	0.10901624644
169.0	0.15916327079	0.11009096516
170.0	0.15900410752	0.11117627883
171.0	0.15884510341	0.11227229188
172.0	0.15868625831	0.1133791098
173.0	0.15852757205	0.1144968391
174.0	0.15836904448	0.11562558735
175.0	0.15821067543	0.11676546318
