metabolite	cycle	x	y	conc_mmol
glycol_e	10	1	1	9.8087496097
h2o_e	10	1	1	1000.5220014
h_e	10	1	1	999.98394336
k_e	10	1	1	999.99935589
mg2_e	10	1	1	999.99997138
mn2_e	10	1	1	1000.0
mobd_e	10	1	1	999.99998855
na1_e	10	1	1	999.99998569
nh4_e	10	1	1	999.95681431
ni2_e	10	1	1	999.99998855
o2_e	10	1	1	999.60384709
pi_e	10	1	1	999.99619395
so4_e	10	1	1	999.99925325
tpha_e	10	1	1	9.9722837154
zn2_e	10	1	1	999.99998855
34dhbz_e	11	1	1	0.0015336297776
C80aPHA_e	11	1	1	0.01173857843
ca2_e	11	1	1	99.999980913
cbl1_e	11	1	1	0.001
cl_e	11	1	1	999.99998091
co2_e	11	1	1	0.385592333
cobalt2_e	11	1	1	999.99998728
cu2_e	11	1	1	999.99998728
fe2_e	11	1	1	999.99993367
glycol_e	11	1	1	9.7874328101
h2o_e	11	1	1	1000.5801737
h_e	11	1	1	999.98216259
k_e	11	1	1	999.9992841
mg2_e	11	1	1	999.99996819
mn2_e	11	1	1	1000.0
mobd_e	11	1	1	999.99998728
na1_e	11	1	1	999.99998409
nh4_e	11	1	1	999.95200095
ni2_e	11	1	1	999.99998728
o2_e	11	1	1	999.55973018
pi_e	11	1	1	999.99576974
so4_e	11	1	1	999.99917002
tpha_e	11	1	1	9.9691890256
zn2_e	11	1	1	999.99998728
34dhbz_e	12	1	1	0.0013807027808
C80aPHA_e	12	1	1	0.013016070981
ca2_e	12	1	1	99.999978963
cbl1_e	12	1	1	0.001
cl_e	12	1	1	999.99997896
co2_e	12	1	1	0.42553958786
cobalt2_e	12	1	1	999.99998598
cu2_e	12	1	1	999.99998598
fe2_e	12	1	1	999.99992689
glycol_e	12	1	1	9.7662496245
h2o_e	12	1	1	1000.638257
h_e	12	1	1	999.98001074
k_e	12	1	1	999.99921093
mg2_e	12	1	1	999.99996493
mn2_e	12	1	1	1000.0
mobd_e	12	1	1	999.99998598
na1_e	12	1	1	999.99998247
nh4_e	12	1	1	999.9470958
ni2_e	12	1	1	999.99998598
o2_e	12	1	1	999.51481951
pi_e	12	1	1	999.99533743
so4_e	12	1	1	999.9990852
tpha_e	12	1	1	9.9660306927
zn2_e	12	1	1	999.99998598
34dhbz_e	13	1	1	0.001604880101
C80aPHA_e	13	1	1	0.014221607829
ca2_e	13	1	1	99.999976978
cbl1_e	13	1	1	0.001
cl_e	13	1	1	999.99997698
co2_e	13	1	1	0.46550193501
cobalt2_e	13	1	1	999.99998465
cu2_e	13	1	1	999.99998465
fe2_e	13	1	1	999.99991999
glycol_e	13	1	1	9.7441231629
h2o_e	13	1	1	1000.6986235
h_e	13	1	1	999.97818226
k_e	13	1	1	999.99913648
mg2_e	13	1	1	999.99996163
mn2_e	13	1	1	1000.0
mobd_e	13	1	1	999.99998465
na1_e	13	1	1	999.99998081
nh4_e	13	1	1	999.94210411
ni2_e	13	1	1	999.99998465
o2_e	13	1	1	999.46909987
pi_e	13	1	1	999.9948975
so4_e	13	1	1	999.99899888
tpha_e	13	1	1	9.962807408
zn2_e	13	1	1	999.99998465
34dhbz_e	14	1	1	0.0013869536644
C80aPHA_e	14	1	1	0.015562218309
ca2_e	14	1	1	99.999974955
cbl1_e	14	1	1	0.001
cl_e	14	1	1	999.99997495
co2_e	14	1	1	0.50704467698
cobalt2_e	14	1	1	999.99998331
cu2_e	14	1	1	999.99998331
fe2_e	14	1	1	999.99991296
glycol_e	14	1	1	9.7222967224
h2o_e	14	1	1	1000.7585428
h_e	14	1	1	999.97586388
k_e	14	1	1	999.9990606
mg2_e	14	1	1	999.99995825
mn2_e	14	1	1	1000.0
mobd_e	14	1	1	999.99998331
na1_e	14	1	1	999.99997913
nh4_e	14	1	1	999.9370161
ni2_e	14	1	1	999.99998331
o2_e	14	1	1	999.42255703
pi_e	14	1	1	999.99444909
so4_e	14	1	1	999.9989109
tpha_e	14	1	1	9.9595178357
zn2_e	14	1	1	999.99998331
34dhbz_e	15	1	1	0.001694230996
C80aPHA_e	15	1	1	0.016794415339
ca2_e	15	1	1	99.999972896
cbl1_e	15	1	1	0.001
cl_e	15	1	1	999.9999729
co2_e	15	1	1	0.54834967169
cobalt2_e	15	1	1	999.99998193
cu2_e	15	1	1	999.99998193
fe2_e	15	1	1	999.9999058
glycol_e	15	1	1	9.6992879968
h2o_e	15	1	1	1000.8212786
h_e	15	1	1	999.9740133
k_e	15	1	1	999.99898339
mg2_e	15	1	1	999.99995482
mn2_e	15	1	1	1000.0
mobd_e	15	1	1	999.99998193
na1_e	15	1	1	999.99997741
nh4_e	15	1	1	999.9318396
ni2_e	15	1	1	999.99998193
o2_e	15	1	1	999.37517503
pi_e	15	1	1	999.99399287
so4_e	15	1	1	999.99882139
tpha_e	15	1	1	9.9561606126
zn2_e	15	1	1	999.99998193
34dhbz_e	16	1	1	0.0013713810851
C80aPHA_e	16	1	1	0.018210009463
ca2_e	16	1	1	99.999970798
cbl1_e	16	1	1	0.001
cl_e	16	1	1	999.9999708
co2_e	16	1	1	0.59161938471
cobalt2_e	16	1	1	999.99998053
cu2_e	16	1	1	999.99998053
fe2_e	16	1	1	999.99989851
glycol_e	16	1	1	9.6768528259
h2o_e	16	1	1	1000.8829737
h_e	16	1	1	999.97148401
k_e	16	1	1	999.99890467
mg2_e	16	1	1	999.99995132
mn2_e	16	1	1	1000.0
mobd_e	16	1	1	999.99998053
na1_e	16	1	1	999.99997566
nh4_e	16	1	1	999.92656142
ni2_e	16	1	1	999.99998053
o2_e	16	1	1	999.32693931
pi_e	16	1	1	999.99352769
so4_e	16	1	1	999.99873012
tpha_e	16	1	1	9.9527343474
zn2_e	16	1	1	999.99998053
34dhbz_e	17	1	1	0.0018142687433
C80aPHA_e	17	1	1	0.019457456956
ca2_e	17	1	1	99.999968663
cbl1_e	17	1	1	0.001
cl_e	17	1	1	999.99996866
co2_e	17	1	1	0.63422450448
cobalt2_e	17	1	1	999.99997911
cu2_e	17	1	1	999.99997911
fe2_e	17	1	1	999.99989109
glycol_e	17	1	1	9.6528548708
h2o_e	17	1	1	1000.9483303
h_e	17	1	1	999.96965847
k_e	17	1	1	999.9988246
mg2_e	17	1	1	999.99994777
mn2_e	17	1	1	1000.0
mobd_e	17	1	1	999.99997911
na1_e	17	1	1	999.99997388
nh4_e	17	1	1	999.92119357
ni2_e	17	1	1	999.99997911
o2_e	17	1	1	999.27783303
pi_e	17	1	1	999.99305461
so4_e	17	1	1	999.99863731
tpha_e	17	1	1	9.9492376203
zn2_e	17	1	1	999.99997911
34dhbz_e	18	1	1	0.0013167642239
C80aPHA_e	18	1	1	0.020967487584
ca2_e	18	1	1	99.999966485
cbl1_e	18	1	1	0.001
cl_e	18	1	1	999.99996649
co2_e	18	1	1	0.67941128965
cobalt2_e	18	1	1	999.99997766
cu2_e	18	1	1	999.99997766
fe2_e	18	1	1	999.99988352
glycol_e	18	1	1	9.6298900053
h2o_e	18	1	1	1001.0116438
h_e	18	1	1	999.9668441
k_e	18	1	1	999.99874293
mg2_e	18	1	1	999.99994414
mn2_e	18	1	1	1000.0
mobd_e	18	1	1	999.99997766
na1_e	18	1	1	999.99997207
nh4_e	18	1	1	999.91571735
ni2_e	18	1	1	999.99997766
o2_e	18	1	1	999.22784144
pi_e	18	1	1	999.99257198
so4_e	18	1	1	999.99854261
tpha_e	18	1	1	9.9456689822
zn2_e	18	1	1	999.99997766
34dhbz_e	19	1	1	0.0019886512805
C80aPHA_e	19	1	1	0.022208538648
ca2_e	19	1	1	99.999964272
cbl1_e	19	1	1	0.001
cl_e	19	1	1	999.99996427
co2_e	19	1	1	0.723198787
cobalt2_e	19	1	1	999.99997618
cu2_e	19	1	1	999.99997618
fe2_e	19	1	1	999.99987583
glycol_e	19	1	1	9.6047325139
h2o_e	19	1	1	1001.0800123
h_e	19	1	1	999.96513102
k_e	19	1	1	999.99865992
mg2_e	19	1	1	999.99994045
mn2_e	19	1	1	1000.0
mobd_e	19	1	1	999.99997618
na1_e	19	1	1	999.99997022
nh4_e	19	1	1	999.91015175
ni2_e	19	1	1	999.99997618
o2_e	19	1	1	999.17694656
pi_e	19	1	1	999.99208147
so4_e	19	1	1	999.99844637
tpha_e	19	1	1	9.9420269542
zn2_e	19	1	1	999.99997618
34dhbz_e	20	1	1	0.0011902086596
C80aPHA_e	20	1	1	0.023846793266
ca2_e	20	1	1	99.999962012
cbl1_e	20	1	1	0.001
cl_e	20	1	1	999.99996201
co2_e	20	1	1	0.77060210526
cobalt2_e	20	1	1	999.99997468
cu2_e	20	1	1	999.99997468
fe2_e	20	1	1	999.99986798
glycol_e	20	1	1	9.5814022661
h2o_e	20	1	1	1001.1445998
h_e	20	1	1	999.96190113
k_e	20	1	1	999.99857515
mg2_e	20	1	1	999.99993668
mn2_e	20	1	1	1000.0
mobd_e	20	1	1	999.99997468
na1_e	20	1	1	999.99996834
nh4_e	20	1	1	999.90446878
ni2_e	20	1	1	999.99997468
o2_e	20	1	1	999.12513375
pi_e	20	1	1	999.99158062
so4_e	20	1	1	999.99834811
tpha_e	20	1	1	9.9383100271
zn2_e	20	1	1	999.99997468
34dhbz_e	21	1	1	0.0022633838847
C80aPHA_e	21	1	1	0.025039978463
ca2_e	21	1	1	99.999959718
cbl1_e	21	1	1	0.001
cl_e	21	1	1	999.99995972
co2_e	21	1	1	0.81530707938
cobalt2_e	21	1	1	999.99997315
cu2_e	21	1	1	999.99997315
fe2_e	21	1	1	999.99986001
glycol_e	21	1	1	9.5547935516
h2o_e	21	1	1	1001.2166392
h_e	21	1	1	999.96046593
k_e	21	1	1	999.99848911
mg2_e	21	1	1	999.99993286
mn2_e	21	1	1	1000.0
mobd_e	21	1	1	999.99997315
na1_e	21	1	1	999.99996643
nh4_e	21	1	1	999.89869953
ni2_e	21	1	1	999.99997315
o2_e	21	1	1	999.07238348
pi_e	21	1	1	999.99107216
so4_e	21	1	1	999.99824835
tpha_e	21	1	1	9.9345166605
zn2_e	21	1	1	999.99997315
34dhbz_e	22	1	1	0.0009266327272
C80aPHA_e	22	1	1	0.02686833475
ca2_e	22	1	1	99.999957372
cbl1_e	22	1	1	0.001
cl_e	22	1	1	999.99995737
co2_e	22	1	1	0.86543913308
cobalt2_e	22	1	1	999.99997158
cu2_e	22	1	1	999.99997158
fe2_e	22	1	1	999.99985185
glycol_e	22	1	1	9.5314306673
h2o_e	22	1	1	1001.2817867
h_e	22	1	1	999.95657972
k_e	22	1	1	999.99840111
mg2_e	22	1	1	999.99992895
mn2_e	22	1	1	1000.0
mobd_e	22	1	1	999.99997158
na1_e	22	1	1	999.99996447
nh4_e	22	1	1	999.8927997
ni2_e	22	1	1	999.99997158
o2_e	22	1	1	999.01868168
pi_e	22	1	1	999.99055219
so4_e	22	1	1	999.99814633
tpha_e	22	1	1	9.9306452824
zn2_e	22	1	1	999.99997158
34dhbz_e	23	1	1	0.0027311810193
C80aPHA_e	23	1	1	0.027932468756
ca2_e	23	1	1	99.999954995
cbl1_e	23	1	1	0.001
cl_e	23	1	1	999.999955
co2_e	23	1	1	0.91050018284
cobalt2_e	23	1	1	999.99997
cu2_e	23	1	1	999.99997
fe2_e	23	1	1	999.99984359
glycol_e	23	1	1	9.5028372659
h2o_e	23	1	1	1001.358688
h_e	23	1	1	999.95574397
k_e	23	1	1	999.99831196
mg2_e	23	1	1	999.99992499
mn2_e	23	1	1	1000.0
mobd_e	23	1	1	999.99997
na1_e	23	1	1	999.99996249
nh4_e	23	1	1	999.88682216
ni2_e	23	1	1	999.99997
o2_e	23	1	1	998.96400656
pi_e	23	1	1	999.99002538
so4_e	23	1	1	999.99804297
tpha_e	23	1	1	9.9266942886
zn2_e	23	1	1	999.99997
34dhbz_e	24	1	1	0.00039244708923
C80aPHA_e	24	1	1	0.030069953298
ca2_e	24	1	1	99.999952558
cbl1_e	24	1	1	0.001
cl_e	24	1	1	999.99995256
co2_e	24	1	1	0.96430423912
cobalt2_e	24	1	1	999.99996838
cu2_e	24	1	1	999.99996838
fe2_e	24	1	1	999.99983512
glycol_e	24	1	1	9.4801186526
h2o_e	24	1	1	1001.4229252
h_e	24	1	1	999.95073606
k_e	24	1	1	999.99822054
mg2_e	24	1	1	999.99992092
mn2_e	24	1	1	1000.0
mobd_e	24	1	1	999.99996838
na1_e	24	1	1	999.99996046
nh4_e	24	1	1	999.88069283
ni2_e	24	1	1	999.99996838
o2_e	24	1	1	998.90834558
pi_e	24	1	1	999.98948519
so4_e	24	1	1	999.99793698
tpha_e	24	1	1	9.9226620416
zn2_e	24	1	1	999.99996838
34dhbz_e	25	1	1	7.3446068401e-06
C80aPHA_e	25	1	1	0.031743855469
ca2_e	25	1	1	99.999950083
cbl1_e	25	1	1	0.001
cl_e	25	1	1	999.99995008
co2_e	25	1	1	1.0153222181
cobalt2_e	25	1	1	999.99996673
cu2_e	25	1	1	999.99996673
fe2_e	25	1	1	999.99982652
glycol_e	25	1	1	9.4539640968
h2o_e	25	1	1	1001.4949797
h_e	25	1	1	999.94759852
k_e	25	1	1	999.99812772
mg2_e	25	1	1	999.9999168
mn2_e	25	1	1	1000.0
mobd_e	25	1	1	999.99996673
na1_e	25	1	1	999.9999584
nh4_e	25	1	1	999.87446966
ni2_e	25	1	1	999.99996673
o2_e	25	1	1	998.85167329
pi_e	25	1	1	999.98893673
so4_e	25	1	1	999.99782937
tpha_e	25	1	1	9.9185468706
zn2_e	25	1	1	999.99996673
34dhbz_e	26	1	1	0.0041216318905
C80aPHA_e	26	1	1	0.032236231007
ca2_e	26	1	1	99.999947719
cbl1_e	26	1	1	0.001
cl_e	26	1	1	999.99994772
co2_e	26	1	1	1.0560846471
cobalt2_e	26	1	1	999.99996515
cu2_e	26	1	1	999.99996515
fe2_e	26	1	1	999.9998183
glycol_e	26	1	1	9.4227754927
h2o_e	26	1	1	1001.577526
h_e	26	1	1	999.94854821
k_e	26	1	1	999.99803902
mg2_e	26	1	1	999.99991286
mn2_e	26	1	1	1000.0
mobd_e	26	1	1	999.99996515
na1_e	26	1	1	999.99995643
nh4_e	26	1	1	999.86852246
ni2_e	26	1	1	999.99996515
o2_e	26	1	1	998.79753451
pi_e	26	1	1	999.98841259
so4_e	26	1	1	999.99772653
tpha_e	26	1	1	9.9143470701
zn2_e	26	1	1	999.99996515
34dhbz_e	27	1	1	0.0010377749152
C80aPHA_e	27	1	1	0.034649142883
ca2_e	27	1	1	99.999945143
cbl1_e	27	1	1	0.001
cl_e	27	1	1	999.99994514
co2_e	27	1	1	1.114042263
cobalt2_e	27	1	1	999.99996343
cu2_e	27	1	1	999.99996343
fe2_e	27	1	1	999.99980935
glycol_e	27	1	1	9.3998466853
h2o_e	27	1	1	1001.6430064
h_e	27	1	1	999.94259262
k_e	27	1	1	999.99794242
mg2_e	27	1	1	999.99990856
mn2_e	27	1	1	1000.0
mobd_e	27	1	1	999.99996343
na1_e	27	1	1	999.99995428
nh4_e	27	1	1	999.8620463
ni2_e	27	1	1	999.99996343
o2_e	27	1	1	998.73885803
pi_e	27	1	1	999.98784183
so4_e	27	1	1	999.99761455
tpha_e	27	1	1	9.9100608997
zn2_e	27	1	1	999.99996343
34dhbz_e	28	1	1	0.0029146388466
