Run Number,Run History Configuration ID,Instance ID,Response Value (y),Censored?,Cutoff Time Used,Seed,Runtime,Run Length,Run Result Code,Run Quality,SMAC Iteration,SMAC Cumulative Runtime,Run Result,Additional Algorithm Run Data,Wall Clock Time,
57,57,1,-2.3386838547,0,1.7976931348623157E308,-1,0.0,0.0,1,-2.3386838547,6,0.0,SAT,,99.387,
58,58,1,-0.2905419844999999,0,1.7976931348623157E308,-1,0.0,0.0,1,-0.2905419844999999,6,0.0,SAT,,145.369,
59,59,1,-2.3386838547,0,1.7976931348623157E308,-1,0.0,0.0,1,-2.3386838547,6,0.0,SAT,,112.677,
60,60,1,-1.5304610312000002,0,1.7976931348623157E308,-1,0.0,0.0,1,-1.5304610312000002,6,0.0,SAT,,133.143,
61,61,1,-2.3813869677,0,1.7976931348623157E308,-1,0.0,0.0,1,-2.3813869677,6,0.0,SAT,,88.938,
62,62,1,-2.4652500158,0,1.7976931348623157E308,-1,0.0,0.0,1,-2.4652500158,6,0.0,SAT,,118.122,
63,63,1,-2.3386838547,0,1.7976931348623157E308,-1,0.0,0.0,1,-2.3386838547,6,0.0,SAT,,138.204,
64,64,1,0.18646881226,0,1.7976931348623157E308,-1,0.0,0.0,1,0.18646881226,6,0.0,SAT,,108.641,
65,65,1,-2.3813869677,0,1.7976931348623157E308,-1,0.0,0.0,1,-2.3813869677,6,0.0,SAT,,92.452,
66,66,1,-2.1448016235,0,1.7976931348623157E308,-1,0.0,0.0,1,-2.1448016235,7,0.0,SAT,,136.35,
67,67,1,-1.1779907927000002,0,1.7976931348623157E308,-1,0.0,0.0,1,-1.1779907927000002,7,0.0,SAT,,146.169,
68,68,1,-2.3783014746,0,1.7976931348623157E308,-1,0.0,0.0,1,-2.3783014746,7,0.0,SAT,,114.412,
69,69,1,-3.2256422151999997,0,1.7976931348623157E308,-1,0.0,0.0,1,-3.2256422151999997,7,0.0,SAT,,98.568,
70,70,1,-2.3825284994,0,1.7976931348623157E308,-1,0.0,0.0,1,-2.3825284994,7,0.0,SAT,,101.192,
71,71,1,-2.3437075075,0,1.7976931348623157E308,-1,0.0,0.0,1,-2.3437075075,7,0.0,SAT,,71.889,
72,72,1,-2.3306194425,0,1.7976931348623157E308,-1,0.0,0.0,1,-2.3306194425,7,0.0,SAT,,79.982,
73,73,1,-2.3628429084,0,1.7976931348623157E308,-1,0.0,0.0,1,-2.3628429084,7,0.0,SAT,,68.164,
74,74,1,-2.3306194425,0,1.7976931348623157E308,-1,0.0,0.0,1,-2.3306194425,7,0.0,SAT,,79.886,
75,75,1,-1.9330386846,0,1.7976931348623157E308,-1,0.0,0.0,1,-1.9330386846,7,0.0,SAT,,120.579,
76,76,1,-2.3783014746,0,1.7976931348623157E308,-1,0.0,0.0,1,-2.3783014746,7,0.0,SAT,,112.464,
77,77,1,-2.3454917744,0,1.7976931348623157E308,-1,0.0,0.0,1,-2.3454917744,8,0.0,SAT,,69.591,
78,78,1,-1.7301962244000002,0,1.7976931348623157E308,-1,0.0,0.0,1,-1.7301962244000002,8,0.0,SAT,,124.737,
79,79,1,-2.3454917744,0,1.7976931348623157E308,-1,0.0,0.0,1,-2.3454917744,8,0.0,SAT,,70.761,
80,80,1,-1.2000150272,0,1.7976931348623157E308,-1,0.0,0.0,1,-1.2000150272,8,0.0,SAT,,105.512,
81,81,1,-2.3454917744,0,1.7976931348623157E308,-1,0.0,0.0,1,-2.3454917744,8,0.0,SAT,,70.995,
82,82,1,-0.6437270063,0,1.7976931348623157E308,-1,0.0,0.0,1,-0.6437270063,8,0.0,SAT,,124.467,
83,83,1,-2.3454917744,0,1.7976931348623157E308,-1,0.0,0.0,1,-2.3454917744,8,0.0,SAT,,72.589,
84,84,1,-2.2147409444,0,1.7976931348623157E308,-1,0.0,0.0,1,-2.2147409444,8,0.0,SAT,,101.51,
85,85,1,-1.3856716447,0,1.7976931348623157E308,-1,0.0,0.0,1,-1.3856716447,8,0.0,SAT,,120.786,
86,86,1,0.37460903927,0,1.7976931348623157E308,-1,0.0,0.0,1,0.37460903927,8,0.0,SAT,,86.134,
87,87,1,-2.3452028959,0,1.7976931348623157E308,-1,0.0,0.0,1,-2.3452028959,8,0.0,SAT,,8092.001,
88,88,1,-0.24744615689999994,0,1.7976931348623157E308,-1,0.0,0.0,1,-0.24744615689999994,9,0.0,SAT,,124.933,
89,89,1,-0.10603565309999996,0,1.7976931348623157E308,-1,0.0,0.0,1,-0.10603565309999996,9,0.0,SAT,,73.48,
90,90,1,0.5686852179399999,0,1.7976931348623157E308,-1,0.0,0.0,1,0.5686852179399999,9,0.0,SAT,,121.281,
91,91,1,-2.3452028959,0,1.7976931348623157E308,-1,0.0,0.0,1,-2.3452028959,9,0.0,SAT,,63.983,
92,92,1,0.56553531211,0,1.7976931348623157E308,-1,0.0,0.0,1,0.56553531211,9,0.0,SAT,,129.1,
93,93,1,0.5964009905600001,0,1.7976931348623157E308,-1,0.0,0.0,1,0.5964009905600001,9,0.0,SAT,,67.715,
94,94,1,-0.443055607,0,1.7976931348623157E308,-1,0.0,0.0,1,-0.443055607,9,0.0,SAT,,122.569,
95,95,1,-1.8412503038999999,0,1.7976931348623157E308,-1,0.0,0.0,1,-1.8412503038999999,9,0.0,SAT,,115.106,
96,96,1,0.5686852179399999,0,1.7976931348623157E308,-1,0.0,0.0,1,0.5686852179399999,9,0.0,SAT,,127.264,
97,97,1,-1.334085547,0,1.7976931348623157E308,-1,0.0,0.0,1,-1.334085547,9,0.0,SAT,,125.404,
98,98,1,0.48800539117999997,0,1.7976931348623157E308,-1,0.0,0.0,1,0.48800539117999997,9,0.0,SAT,,128.466,
99,99,1,0.06345887620000001,0,1.7976931348623157E308,-1,0.0,0.0,1,0.06345887620000001,10,0.0,SAT,,98.714,
100,100,1,-0.35499837039999993,0,1.7976931348623157E308,-1,0.0,0.0,1,-0.35499837039999993,10,0.0,SAT,,113.777,
